postID,text,timestamp,likes,commentCount,community,district
BhWYatblvTV,Opening Day at Wrigley?,1523276934,3,0,NEAR NORTH SIDE,Central
BhWWnddAhl8,"<ed><U+00A0><U+00BE><ed><U+00B4><U+00AF>Yes, this is today 4/9/18 <ed><U+00A0><U+00BE><ed><U+00B6><U+0080>",1523275990,9,0,NEAR NORTH SIDE,Central
BhVzt1oAWLa,"My body isn't a hair gel factory like Ben Stiller's in: 'There's Something About Mary.' Despite this, my hair spent Sunday displaying a shape that created doubt in the minds of others... The dirty minds... Of others... Seriously... I almost typed 'no hard feelings'... But I doubt you'd believe me... (He slyly wrote... Immediately after typing the very phrase he claims he almost wrote, but didnt). So... In fact he did... #hardfeelings #gateway #to #hairgel #gohardorgohome
#gohard #athome #badhairday #sorry. #notsorry #loveyourhair #theressomethingaboutmary
#camerondiaz #calmyourself #calming #peaceandlove #peaceofmind
#hairstyle #goldcoast #nearnorthside #chicago #benstiller #dontpanic #selflove #grouplove #condolife #skyscraper #lovewins #lovealwayswins #toomanyhashtags",1523257692,82,7,NEAR NORTH SIDE,Central
BhVKgXcF9XP,What<92>s the buzz?,1523236086,128,10,NEAR NORTH SIDE,Central
BhUkL9gnliM,I<92>m his forever Mel #hugobirthday #melaninpoppin #blackgirlmagic #belizeangyal,1523215996,99,2,NEAR NORTH SIDE,Central
BhUVKPoAytX,Dancing leg <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>,1523208162,35,13,NEAR NORTH SIDE,Central
BhUBESYgFV-,11 months old already! Can<92>t believe the big <93>1<94> is next... <ed><U+00A0><U+00BC><ed><U+00BE><U+0088>,1523197583,42,4,NEAR NORTH SIDE,Central
BhTsQQEAZkd,<ed><U+00A0><U+00BE><ed><U+00B4><U+00B8><U+200D><U+2640><U+FE0F>,1523186671,12,3,NEAR NORTH SIDE,Central
BhTOo3JHgmo,This place is full of jerks. Most humans are jerks.,1523171144,20,1,NEAR NORTH SIDE,Central
BhTMs2PjeZC,"I don make mistakes I don grow, I don learn somethings I don<92>t know, so I thank God I still dey here <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF> #surulere",1523170128,76,4,NEAR NORTH SIDE,Central
BhTLMffF5wU,"Best conversation of my life so far. To everyone else I<92>ve ever had a good convo with, who even cares enough to feel offended, it<92>s all in the past now. Thanks @urvikumar for giving me permission to give you permission to let go. You set us both free with that one. <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>",1523169339,11,11,NEAR NORTH SIDE,Central
BhQO-MXjABX,Relationship goals <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF> @gracieonly,1523070656,25,2,NEAR NORTH SIDE,Central
BhP2qonFWuj,The L.,1523057912,20,0,NEAR NORTH SIDE,Central
BhP1URrFz-d,A blast from the past! That's what happens when you clean out old files. #bumpersticker #probono #highschooldays #walterpayton #growingupinchicago,1523057205,7,1,NEAR NORTH SIDE,Central
BhPxuMjH7qA,afternoon hours.,1523055320,89,2,NEAR NORTH SIDE,Central
BhO6HrRnyi_,"Volunteers from @formyblock joined CHI founder Jackie Hayes to serve this week<92>s meal, prepped by @greekkitchen_ for our 130 guests. #endhunger #endhomelessness in #chicago",1523026169,17,2,NEAR NORTH SIDE,Central
